"","countries","continent","Longitude","Latitude"
"103","MACEDONIA","EUROPE",21.6821134607,41.5953089336
"104","MADAGASCAR","AFRICA",46.7047367428,-19.3718958677
"105","MALAWI","AFRICA",34.2893559871,-13.2180808806
"106","MALAYSIA","ASIA",109.697622843,3.78986845571
"107","MALDIVES","SEVEN SEAS (OPEN OCEAN)",73.4571300419,3.72870919988
"108","MALI","AFRICA",-3.54269064851,17.3458158135
"109","MALTA","EUROPE",14.4052331643,35.9214963221
"110","MARSHALL ISLANDS","OCEANIA",170.339761224,7.00376358315
"111","MAURITANIA","AFRICA",-10.3477981455,20.257367056
"112","MAURITIUS","SEVEN SEAS (OPEN OCEAN)",57.5712055061,-20.2776870433
"113","MEXICO","NORTH AMERICA",-102.523451692,23.9475372406
"114","MICRONESIA","OCEANIA",153.239437922,7.45246813659
"115","MOLDOVA","EUROPE",28.4567337241,47.1949880442
"116","MONACO","EUROPE",7.40627676856,43.7527462672
"117","MONGOLIA","ASIA",103.052997649,46.8268154394
"118","MONTENEGRO","EUROPE",19.2388393925,42.7889025929
"119","MOROCCO","AFRICA",-8.45615794798,29.8376295469
"120","MOZAMBIQUE","AFRICA",35.5336754259,-17.2738164259
"121","MYANMAR","ASIA",96.4884332104,21.1856659927
"122","NAMIBIA","AFRICA",17.209635667,-22.1303256842
"123","NAURU","OCEANIA",166.932568234,-0.519126389522
"124","NEPAL","ASIA",83.9158264002,28.2489136496
"125","NETHERLANDS","EUROPE",5.28144793007,52.1007899002
"126","NEW ZEALAND","OCEANIA",171.484923466,-41.811135569
"127","NICARAGUA","NORTH AMERICA",-85.0305296951,12.8470942896
"128","NIGER","AFRICA",9.38545881539,17.4191249296
"129","NIGERIA","AFRICA",8.08943894771,9.59411452233
"130","NORTH KOREA","ASIA",127.192479732,40.1535031093
"131","NORTH MACEDONIA","EUROPE",21.6821134607,41.5953089336
"132","NORWAY","EUROPE",15.3483465622,68.7501557205
"133","OMAN","ASIA",56.0916615483,20.6051533257
"134","PAKISTAN","ASIA",69.3395793748,29.9497515031
"135","PALAU","OCEANIA",134.408079655,7.28742783603
"136","PANAMA","NORTH AMERICA",-80.1191515612,8.51750797491
"137","PAPUA NEW GUINEA","OCEANIA",145.207447524,-6.46416646083
"138","PARAGUAY","SOUTH AMERICA",-58.400137032,-23.228239132
"139","PERU","SOUTH AMERICA",-74.382426851,-9.15280381329
"140","PHILIPPINES","ASIA",122.883932529,11.7753677809
"141","POLAND","EUROPE",19.3901283493,52.1275956442
"142","PORTUGAL","EUROPE",-8.50104361268,39.5955067145
"143","QATAR","ASIA",51.1847963212,25.3060118763
"144","ROMANIA","EUROPE",24.9729303933,45.8524312742
"145","RUSSIA","EUROPE",96.6865611231,61.9805220919
"146","RWANDA","AFRICA",29.9198851524,-1.99033831693
"147","SAINT KITTS AND NEVIS","NORTH AMERICA",-62.6875526496,17.2645995047
"148","SAINT LUCIA","NORTH AMERICA",-60.9696992253,13.8947948145
"149","SAMOA","OCEANIA",-172.16485064,-13.7532434638
"150","SAN MARINO","EUROPE",12.4592233358,43.9418674677
"151","SAO TOME AND PRINCIPE","AFRICA",6.72429657927,0.443914449308
"152","SAUDI ARABIA","ASIA",44.5368627114,24.1224584073
"153","SCOTLAND","EUROPE",-2.86563164084,54.1238715577
"154","SENEGAL","AFRICA",-14.4734923973,14.3662417313
"155","SERBIA","EUROPE",20.7895833363,44.2215031993
"156","SEYCHELLES","SEVEN SEAS (OPEN OCEAN)",55.4760327912,-4.66099093522
"157","SIERRA LEONE","AFRICA",-11.7927124668,8.56329593038
"158","SINGAPORE","ASIA",103.81725592,1.35876087075
"159","SLOVAKIA","EUROPE",19.4790521811,48.7054752813
"160","SLOVENIA","EUROPE",14.8044423776,46.1155477207
"161","SOLOMON ISLANDS","OCEANIA",159.632876678,-8.92178021692
"162","SOMALIA","AFRICA",45.7071448699,4.75062876055
"163","SOUTH AFRICA","AFRICA",25.0839009251,-29.0003409534
"164","SOUTH SUDAN","AFRICA",30.2479000186,7.30877944922
"165","SPAIN","EUROPE",-3.64755047323,40.2444869811
"166","SRI LANKA","ASIA",80.7010823782,7.61266509224
"167","SUDAN","AFRICA",29.9404681199,15.9903566856
"168","SURINAME","SOUTH AMERICA",-55.9123456951,4.1305541299
"169","SWAZILAND","AFRICA",31.4819369011,-26.5584304502
"170","SWEDEN","EUROPE",16.7455804869,62.7796651931
"171","SWITZERLAND","EUROPE",8.20867470615,46.7978587836
"172","SYRIA","ASIA",38.5078820425,35.025473894
"173","TAIWAN","ASIA",120.954272814,23.753992795
"174","TAJIKISTAN","ASIA",71.0136263091,38.5304538963
"175","TANZANIA","AFRICA",34.8130998093,-6.27565408332
"176","THAILAND","ASIA",101.002881304,15.1181579418
"177","TOGO","AFRICA",0.962328449769,8.52531356141
"178","TONGA","OCEANIA",-174.80987341,-20.4284317425
"179","TRINIDAD AND TOBAGO","NORTH AMERICA",-61.2656792335,10.457334081
"180","TUNISIA","AFRICA",9.55288358933,34.1195624649
"181","TURKEY","ASIA",35.1689534649,39.0616029013
"182","TURKMENISTAN","ASIA",59.3710002061,39.1155413742
"183","U ARAB EMIRATES","ASIA",54.3001671016,23.9052818785
"184","UGANDA","AFRICA",32.3690797137,1.27469298731
"185","UKRAINE","EUROPE",31.3832646865,48.9965667265
"186","UNITED ARAB EMIRATES","ASIA",54.3001671016,23.9052818785
"187","UNITED KINGDOM","EUROPE",-2.86563164084,54.1238715577
"188","UNITED STATES","NORTH AMERICA",-112.4616737,45.6795472026
"189","URUGUAY","SOUTH AMERICA",-56.0180705315,-32.7995153444
"190","USA","NORTH AMERICA",-112.4616737,45.6795472026
"191","UZBEKISTAN","ASIA",63.1400152805,41.7555422527
"192","VANUATU","OCEANIA",167.686446357,-16.2264090884
"193","VATICANO","EUROPE",12.4338717661,41.9017498529
"194","VENEZUELA","SOUTH AMERICA",-66.1818412311,7.12422421273
"195","VIETNAM","ASIA",106.299146978,16.6460167019
"196","WALES","EUROPE",-2.86563164084,54.1238715577
"197","YEMEN","ASIA",47.5867618877,15.9092800505
"198","ZAMBIA","AFRICA",27.7747594637,-13.4582415186
"199","ZIMBABWE","AFRICA",29.8514412019,-19.0042041882
